API NO.,PlatLink,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,PlatFilePath
32946654,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946654&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,32946654,Links Images GIS Viewer Completion,08,CMC PEONY F,0365WC,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895168,Horizontal,New Drill,N,11303,data\plat_files\0365WC\32946654.tif
38940832,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940832&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,38940832,Links Images GIS Viewer Completion,08,WAHA (47501),C 65H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893715,Horizontal,New Drill,Y,11000,
38940826,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940826&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,38940826,Links Images GIS Viewer Completion,08,WAHA (47501),C 68H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893719,Horizontal,New Drill,Y,11000,
38940827,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940827&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,38940827,Links Images GIS Viewer Completion,08,WAHA (47318),C 13H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893712,Horizontal,New Drill,Y,11000,
38940837,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940837&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,38940837,Links Images GIS Viewer Completion,08,WAHA (47318),C 25H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893767,Horizontal,New Drill,Y,11000,
38940830,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940830&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,38940830,Links Images GIS Viewer Completion,08,WAHA (47501),C 36H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893714,Horizontal,New Drill,Y,11000,
38940836,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940836&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,38940836,Links Images GIS Viewer Completion,08,WAHA (47318),C 24H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893766,Horizontal,New Drill,Y,11000,
38940833,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940833&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,38940833,Links Images GIS Viewer Completion,08,WAHA (47501),C 66H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893716,Horizontal,New Drill,Y,11000,
38940828,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940828&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,38940828,Links Images GIS Viewer Completion,08,WAHA (47501),C 34H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893713,Horizontal,New Drill,Y,11000,
38940834,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940834&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8GvdopJUdksMeTGjPbRKag8lBsYUjsC2zkvsAf3xXDoHW6bn0sszODsNoNEkhECYpJMoHoqqognX9rqK6FCec-Xdz1sPgIeVzGsyH9mnj3hJVZJliAWACT4_HgqGKsCbbtrZvng11NviX0dDn1TWtHYsy7Ey4uPrgtrptmciRTBipP7i90VRdmFqjuAtT-vlaUOPTQZPuXnU7mjkje0qVJ7BVsIlzvYlkjmfT2N4fbYiebPpjl7DYF3rIUEh-zzyA18jlV07duEVK-WeV-VtVKxx0Y-hbJb_2J0_lUhez8tcDSjEpBCGmLMKc4bRidO_wH3_gC5Y-lbvBAgAA,38940834,Links Images GIS Viewer Completion,08,WAHA (47501),C 67H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893718,Horizontal,New Drill,Y,11000,
38940835,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940835&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvRopJUdksMeTGjPfYTmYHJQbOEIbMus5D5AH9-VQ6B1ei69DLuzwzAaRSkEQpRCorwjqss6WDc819RU4ogz_25Oehw9ZHzOgvnQPmvd20qVea5YALiCh_tDyaNKY0O26-zQPhrqbfBPk6HPi2vWOBbl2Jtwds3e7XTXMVEgmTDRsHcvRlN9ZmqD4iZM5edrSa3PRk26f9XdZOaM7ClVsYKdgm3CzTaRBZ5Mawd_sCF5sumPXcJiX-ghRyH5PTMAr4krLpy6couU8s8q89eq1jjq1tC3Sn7tTx6rpS5lRRUBpYgKQYiYM8YiwZrJW4f_-ANffriftsECAAA,38940835,Links Images GIS Viewer Completion,08,WAHA (47318),C 23H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 11/10/2023 Approved: 01/10/2024,893765,Horizontal,New Drill,Y,11000,
